i,j,capacity,first_20min,first_40min,first_30min,first_hour,max_fee,fee,from_,to_
70,10070,12,,,200.0,,1200.0,200,8,281
74,10074,5,,,200.0,,800.0,800,9,282
75,10075,50,,200.0,,,800.0,800,10,283
95,10095,7,,,,200.0,600.0,600,12,285
106,10106,21,,,,500.0,,1100,18,291
174,10174,17,,,200.0,,1100.0,1100,30,303
198,10198,11,,,,200.0,1400.0,600,36,309
206,10206,6,,,200.0,,,1200,40,313
207,10207,3,100.0,,,,,900,41,314
436,10436,66,200.0,,,,1500.0,1500,75,348
440,10440,10,100.0,,,,900.0,900,77,350
444,10444,7,,220.0,,,880.0,880,78,351
550,10550,9,440.0,,,,,1320,94,367
564,10564,18,,,,200.0,500.0,500,97,370
755,10755,25,,,,220.0,500.0,500,133,406
765,10765,29,,,200.0,,1000.0,1000,141,414
784,10784,11,,,,220.0,660.0,660,144,417
831,10831,5,,,,200.0,450.0,450,155,428
914,10914,9,,,,200.0,800.0,800,163,436
982,10982,127,,220.0,,,500.0,500,177,450
995,10995,12,,,200.0,,,1200,184,457
1008,11008,7,,220.0,,,770.0,770,193,466
1157,11157,21,110.0,,,,770.0,770,202,475
1174,11174,18,,200.0,,,600.0,600,213,486
1180,11180,4,,,300.0,,,1800,216,489
1187,11187,15,,,,220.0,880.0,660,220,493
1199,11199,6,,,,220.0,990.0,660,222,495
1214,11214,12,,,,200.0,500.0,500,226,499
1211,11211,12,200.0,,,,,1800,225,498
1215,11215,21,,,,200.0,800.0,800,227,500
1216,11216,8,,,,200.0,1000.0,600,228,501
1262,11262,2,,,,300.0,600.0,600,238,511
1277,11277,8,,,200.0,,1300.0,1200,243,516
1280,11280,12,,220.0,,,1100.0,1100,245,518
1353,11353,19,,,,200.0,400.0,400,254,527
1384,11384,19,,,220.0,,,1320,259,532
1393,11393,8,,,,200.0,800.0,800,261,534
1434,11434,6,,,,220.0,880.0,660,267,540
